"Cross Section(Mass), created by Plot Digitizer, 2.6.6"
"Date: 8/21/15, 2:22:26 PM"


30
Mass,Cross Section
7.91629,-26.5387
7.99819,-26.4960
8.16433,-26.4510
8.37673,-26.4179
8.66101,-26.3989
9.18774,-26.3729
9.69656,-26.3563
10.2073,-26.3421
10.8002,-26.3351
11.3981,-26.3422
11.9370,-26.3422
12.7277,-26.3683
13.1592,-26.4015
13.0577,-26.4702
12.6290,-26.5010
12.2772,-26.5318
11.7831,-26.5626
11.3380,-26.5886
10.9377,-26.6052
10.5787,-26.6241
10.1531,-26.6383
9.74458,-26.6502
9.37659,-26.6549
8.97630,-26.6596
8.63739,-26.6501
8.31130,-26.6382
8.14252,-26.6169
7.99771,-26.5884
7.87563,-26.5647
7.91627,-26.5434
